table_schema|table_name                   |column_name                  |data_type                  |is_nullable|column_default                           |
public      |contract                     |agreed_duration              |character varying          |YES        |                                         |
public      |contract                     |status                       |USER-DEFINED               |NO         |                                         |
public      |contract                     |start_date                   |date                       |NO         |                                         |
public      |contract                     |end_date                     |date                       |YES        |                                         |
public      |contract                     |actual_completion_date       |date                       |YES        |                                         |
public      |contract                     |total_hours_worked           |numeric                    |YES        |                                         |
public      |contract                     |total_paid                   |numeric                    |YES        |0                                        |
public      |contract                     |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |contract                     |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |contract                     |contract_pdf_url             |character varying          |YES        |                                         |
public      |contract                     |contract_pdf_generated_at    |timestamp without time zone|YES        |                                         |
public      |contract                     |cancelled_by                 |uuid                       |YES        |                                         |
public      |contract                     |cancellation_reason          |text                       |YES        |                                         |
public      |contract_embedding           |embedding_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |contract_embedding           |contract_id                  |uuid                       |NO         |                                         |
public      |contract_embedding           |freelancer_id                |uuid                       |NO         |                                         |
public      |contract_embedding           |embedding_vector             |USER-DEFINED               |YES        |                                         |
public      |contract_embedding           |source_text                  |text                       |YES        |                                         |
public      |contract_embedding           |embedding_metadata           |jsonb                      |YES        |                                         |
public      |contract_embedding           |embedding_dirty              |boolean                    |NO         |true                                     |
public      |contract_embedding           |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |contract_embedding           |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |contract_submission          |submission_id                |uuid                       |NO         |uuid_generate_v4()                       |
public      |contract_submission          |contract_id                  |uuid                       |NO         |                                         |
public      |contract_submission          |submitted_by                 |uuid                       |NO         |                                         |
public      |contract_submission          |note                         |text                       |YES        |                                         |
public      |contract_submission          |status                       |character varying          |NO         |'submitted'::character varying           |
public      |contract_submission          |submitted_at                 |timestamp with time zone   |YES        |now()                                    |
public      |contract_submission          |reviewed_at                  |timestamp with time zone   |YES        |                                         |
public      |contract_submission          |revision_note                |text                       |YES        |                                         |
public      |contract_submission          |created_at                   |timestamp with time zone   |YES        |now()                                    |
public      |contract_submission          |updated_at                   |timestamp with time zone   |YES        |now()                                    |
public      |contract_submission_file     |file_id                      |uuid                       |NO         |uuid_generate_v4()                       |
public      |contract_submission_file     |submission_id                |uuid                       |NO         |                                         |
public      |contract_submission_file     |file_url                     |text                       |NO         |                                         |
public      |contract_submission_file     |file_name                    |text                       |NO         |                                         |
public      |contract_submission_file     |file_size_bytes              |bigint                     |YES        |                                         |
public      |contract_submission_file     |mime_type                    |character varying          |YES        |                                         |
public      |contract_submission_file     |uploaded_at                  |timestamp with time zone   |YES        |now()                                    |
public      |contract_terms               |contract_terms_id            |uuid                       |NO         |gen_random_uuid()                        |
public      |contract_terms               |contract_id                  |uuid                       |NO         |                                         |
public      |contract_terms               |termination_notice           |integer                    |YES        |                                         |
public      |contract_terms               |governing_law                |character varying          |YES        |                                         |
public      |contract_terms               |confidentiality              |boolean                    |YES        |false                                    |
public      |contract_terms               |confidentiality_text         |text                       |YES        |                                         |
public      |contract_terms               |late_payment_penalty         |numeric                    |YES        |                                         |
public      |contract_terms               |dispute_resolution           |character varying          |YES        |                                         |
public      |contract_terms               |revision_rounds              |integer                    |YES        |                                         |
public      |contract_terms               |additional_clauses           |text                       |YES        |                                         |
public      |contract_terms               |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |contract_terms               |payment_schedule             |text                       |YES        |                                         |
public      |dm_message                   |dm_message_id                |uuid                       |NO         |gen_random_uuid()                        |
public      |dm_message                   |thread_id                    |uuid                       |NO         |                                         |
public      |dm_message                   |sender_id                    |uuid                       |NO         |                                         |
public      |dm_message                   |message_text                 |text                       |NO         |''::text                                 |
public      |dm_message                   |metadata                     |text                       |YES        |                                         |
public      |dm_message                   |is_read                      |boolean                    |NO         |false                                    |
public      |dm_message                   |read_at                      |timestamp with time zone   |YES        |                                         |
public      |dm_message                   |sent_at                      |timestamp with time zone   |NO         |now()                                    |
public      |dm_message_attachment        |attachment_id                |uuid                       |NO         |gen_random_uuid()                        |
public      |dm_message_attachment        |dm_message_id                |uuid                       |NO         |                                         |
public      |dm_message_attachment        |file_name                    |text                       |NO         |                                         |
public      |dm_message_attachment        |file_url                     |text                       |NO         |                                         |
public      |dm_message_attachment        |file_type                    |text                       |NO         |                                         |
public      |dm_message_attachment        |mime_type                    |text                       |NO         |                                         |
public      |dm_message_attachment        |file_size_bytes              |integer                    |YES        |                                         |
public      |dm_message_attachment        |duration_seconds             |double precision           |YES        |                                         |
public      |dm_message_attachment        |created_at                   |timestamp with time zone   |NO         |now()                                    |
public      |dm_thread                    |thread_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |dm_thread                    |user_a_id                    |uuid                       |NO         |                                         |
public      |dm_thread                    |user_b_id                    |uuid                       |NO         |                                         |
public      |dm_thread                    |initiator_id                 |uuid                       |NO         |                                         |
public      |dm_thread                    |status                       |text                       |NO         |'request'::text                          |
public      |dm_thread                    |job_post_id                  |uuid                       |YES        |                                         |
public      |dm_thread                    |contract_id                  |uuid                       |YES        |                                         |
public      |dm_thread                    |created_at                   |timestamp with time zone   |NO         |now()                                    |
public      |dm_thread                    |updated_at                   |timestamp with time zone   |NO         |now()                                    |
public      |education                    |education_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |education                    |freelancer_id                |uuid                       |NO         |                                         |
public      |education                    |institution_name             |character varying          |NO         |                                         |
public      |education                    |degree                       |character varying          |NO         |                                         |
public      |education                    |field_of_study               |character varying          |YES        |                                         |
public      |education                    |start_date                   |date                       |NO         |                                         |
public      |education                    |end_date                     |date                       |YES        |                                         |
public      |education                    |is_current                   |boolean                    |YES        |false                                    |
public      |education                    |grade                        |character varying          |YES        |                                         |
public      |education                    |description                  |text                       |YES        |                                         |
public      |education                    |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |education                    |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |email_verification_otps      |otp_id                       |uuid                       |NO         |gen_random_uuid()                        |
public      |email_verification_otps      |user_id                      |uuid                       |NO         |                                         |
public      |email_verification_otps      |otp_hash                     |character varying          |NO         |                                         |
public      |email_verification_otps      |expires_at                   |timestamp without time zone|NO         |                                         |
public      |email_verification_otps      |consumed_at                  |timestamp without time zone|YES        |                                         |
public      |email_verification_otps      |attempts                     |integer                    |NO         |0                                        |
public      |email_verification_otps      |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |freelancer                   |freelancer_id                |uuid                       |NO         |gen_random_uuid()                        |
public      |freelancer                   |user_id                      |uuid                       |NO         |                                         |
public      |freelancer                   |full_name                    |character varying          |NO         |                                         |
public      |freelancer                   |bio                          |text                       |YES        |                                         |
public      |freelancer                   |cv_file_url                  |character varying          |YES        |                                         |
public      |freelancer                   |profile_picture_url          |character varying          |YES        |                                         |
public      |freelancer                   |estimated_rate               |numeric                    |YES        |                                         |
public      |freelancer                   |rate_time                    |USER-DEFINED               |YES        |'hourly'::rate_time_type                 |
public      |freelancer                   |rate_currency                |character varying          |YES        |'USD'::character varying                 |
public      |freelancer                   |total_jobs                   |integer                    |YES        |0                                        |
public      |freelancer                   |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |freelancer                   |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |freelancer                   |title                        |character varying          |YES        |                                         |
public      |freelancer_embedding         |embedding_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |freelancer_embedding         |freelancer_id                |uuid                       |NO         |                                         |
public      |freelancer_embedding         |source_text                  |text                       |YES        |                                         |
public      |freelancer_embedding         |embedding_metadata           |jsonb                      |YES        |                                         |
public      |freelancer_embedding         |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |freelancer_embedding         |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |freelancer_embedding         |embedding_vector             |USER-DEFINED               |YES        |                                         |
public      |freelancer_embedding         |embedding_dirty              |boolean                    |NO         |true                                     |
public      |freelancer_performance_scores|id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |freelancer_performance_scores|contract_id                  |uuid                       |NO         |                                         |
public      |freelancer_performance_scores|freelancer_id                |uuid                       |NO         |                                         |
public      |freelancer_performance_scores|work_quality_score           |numeric                    |YES        |                                         |
public      |freelancer_performance_scores|work_quality_notes           |text                       |YES        |                                         |
public      |freelancer_performance_scores|on_time_score                |numeric                    |YES        |                                         |
public      |freelancer_performance_scores|revision_count               |integer                    |NO         |0                                        |
public      |freelancer_performance_scores|revision_rate_score          |numeric                    |YES        |                                         |
public      |freelancer_performance_scores|responsiveness_score         |numeric                    |YES        |                                         |
public      |freelancer_performance_scores|communication_sentiment_score|numeric                    |YES        |                                         |
public      |freelancer_performance_scores|conflict_score               |numeric                    |YES        |                                         |
public      |freelancer_performance_scores|communication_summary        |text                       |YES        |                                         |
public      |freelancer_performance_scores|computed_at                  |timestamp with time zone   |NO         |now()                                    |
public      |freelancer_skill             |freelancer_skill_id          |uuid                       |NO         |gen_random_uuid()                        |
public      |freelancer_skill             |freelancer_id                |uuid                       |NO         |                                         |
public      |freelancer_skill             |skill_id                     |uuid                       |NO         |                                         |
public      |freelancer_skill             |proficiency_level            |USER-DEFINED               |YES        |                                         |
public      |freelancer_skill             |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |freelancer_trust_scores      |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |freelancer_trust_scores      |freelancer_id                |uuid                       |NO         |                                         |
public      |freelancer_trust_scores      |overall_score                |numeric                    |NO         |0                                        |
public      |freelancer_trust_scores      |weighted_review_avg          |numeric                    |YES        |                                         |
public      |freelancer_trust_scores      |work_quality_score           |numeric                    |YES        |                                         |
public      |freelancer_trust_scores      |revision_rate_score          |numeric                    |YES        |                                         |
public      |freelancer_trust_scores      |responsiveness_score         |numeric                    |YES        |                                         |
public      |freelancer_trust_scores      |communication_sentiment      |numeric                    |YES        |                                         |
public      |freelancer_trust_scores      |total_reviews                |integer                    |NO         |0                                        |
public      |freelancer_trust_scores      |category                     |character varying          |YES        |                                         |
public      |freelancer_trust_scores      |category_rank_pct            |numeric                    |YES        |                                         |
public      |freelancer_trust_scores      |last_updated                 |timestamp with time zone   |NO         |now()                                    |
public      |freelancer_trust_scores      |display_star_avg             |double precision           |YES        |                                         |
public      |harmful_text_queue           |moderation_id                |uuid                       |NO         |gen_random_uuid()                        |
public      |harmful_text_queue           |content_type                 |text                       |NO         |                                         |
public      |harmful_text_queue           |content_id                   |uuid                       |NO         |                                         |
public      |harmful_text_queue           |user_id                      |uuid                       |NO         |                                         |
public      |harmful_text_queue           |toxic_score                  |double precision           |NO         |0                                        |
public      |harmful_text_queue           |obscene_score                |double precision           |NO         |0                                        |
public      |harmful_text_queue           |threat_score                 |double precision           |NO         |0                                        |
public      |harmful_text_queue           |insult_score                 |double precision           |NO         |0                                        |
public      |harmful_text_queue           |identity_hate_score          |double precision           |NO         |0                                        |
public      |harmful_text_queue           |detected_labels              |jsonb                      |NO         |'[]'::jsonb                              |
public      |harmful_text_queue           |flagged_text                 |text                       |YES        |                                         |
public      |harmful_text_queue           |status                       |text                       |NO         |'pending'::text                          |
public      |harmful_text_queue           |admin_user_id                |uuid                       |YES        |                                         |
public      |harmful_text_queue           |admin_note                   |text                       |YES        |                                         |
public      |harmful_text_queue           |actioned_at                  |timestamp without time zone|YES        |                                         |
public      |harmful_text_queue           |auto_approve_at              |timestamp without time zone|NO         |                                         |
public      |harmful_text_queue           |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |job_file                     |job_file_id                  |uuid                       |NO         |gen_random_uuid()                        |
public      |job_file                     |job_post_id                  |uuid                       |NO         |                                         |
public      |job_file                     |file_url                     |character varying          |NO         |                                         |
public      |job_file                     |file_type                    |character varying          |NO         |                                         |
public      |job_file                     |file_name                    |character varying          |NO         |                                         |
public      |job_file                     |file_size                    |integer                    |YES        |                                         |
public      |job_file                     |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |job_post                     |job_post_id                  |uuid                       |NO         |gen_random_uuid()                        |
public      |job_post                     |client_id                    |uuid                       |NO         |                                         |
public      |job_post                     |job_title                    |character varying          |NO         |                                         |
public      |job_post                     |job_description              |text                       |NO         |                                         |
public      |job_post                     |project_type                 |USER-DEFINED               |NO         |                                         |
public      |job_post                     |project_scope                |USER-DEFINED               |NO         |                                         |
public      |job_post                     |estimated_duration           |character varying          |YES        |                                         |
public      |job_post                     |working_days                 |integer                    |YES        |                                         |
public      |job_post                     |deadline                     |date                       |YES        |                                         |
public      |job_post                     |experience_level             |USER-DEFINED               |YES        |                                         |
public      |job_post                     |status                       |USER-DEFINED               |NO         |                                         |
public      |job_post                     |is_ai_generated              |boolean                    |YES        |false                                    |
public      |job_post                     |view_count                   |integer                    |YES        |0                                        |
public      |job_post                     |proposal_count               |integer                    |YES        |0                                        |
public      |job_post                     |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |job_post                     |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |job_post                     |posted_at                    |timestamp without time zone|YES        |                                         |
public      |job_post                     |closed_at                    |timestamp without time zone|YES        |                                         |
public      |job_post                     |project_category             |character varying          |YES        |'general'::character varying             |
public      |job_post                     |closure_reason               |text                       |YES        |                                         |
public      |job_post                     |closure_note                 |text                       |YES        |                                         |
public      |job_role                     |job_role_id                  |uuid                       |NO         |gen_random_uuid()                        |
public      |job_role                     |job_post_id                  |uuid                       |NO         |                                         |
public      |job_role                     |role_title                   |character varying          |NO         |                                         |
public      |job_role                     |role_budget                  |numeric                    |YES        |                                         |
public      |job_role                     |budget_currency              |character varying          |YES        |'USD'::character varying                 |
public      |job_role                     |budget_type                  |USER-DEFINED               |NO         |                                         |
public      |job_role                     |role_description             |text                       |YES        |                                         |
public      |job_role                     |positions_available          |integer                    |YES        |1                                        |
public      |job_role                     |positions_filled             |integer                    |YES        |0                                        |
public      |job_role                     |is_required                  |boolean                    |YES        |true                                     |
public      |job_role                     |display_order                |integer                    |YES        |0                                        |
public      |job_role                     |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |job_role                     |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |job_role_embedding           |embedding_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |job_role_embedding           |job_role_id                  |uuid                       |NO         |                                         |
public      |job_role_embedding           |job_post_id                  |uuid                       |NO         |                                         |
public      |job_role_embedding           |embedding_vector             |USER-DEFINED               |YES        |                                         |
public      |job_role_embedding           |source_text                  |text                       |YES        |                                         |
public      |job_role_embedding           |embedding_metadata           |jsonb                      |YES        |                                         |
public      |job_role_embedding           |embedding_dirty              |boolean                    |NO         |true                                     |
public      |job_role_embedding           |created_at                   |timestamp with time zone   |NO         |now()                                    |
public      |job_role_embedding           |updated_at                   |timestamp with time zone   |NO         |now()                                    |
public      |job_role_embedding           |meta_experience_level        |character varying          |YES        |                                         |
public      |job_role_embedding           |meta_role_budget             |numeric                    |YES        |                                         |
public      |job_role_skill               |job_role_skill_id            |uuid                       |NO         |gen_random_uuid()                        |
public      |job_role_skill               |job_role_id                  |uuid                       |NO         |                                         |
public      |job_role_skill               |skill_id                     |uuid                       |NO         |                                         |
public      |job_role_skill               |is_required                  |boolean                    |YES        |true                                     |
public      |job_role_skill               |importance_level             |USER-DEFINED               |YES        |                                         |
public      |job_role_skill               |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |message_attachment           |attachment_id                |uuid                       |NO         |gen_random_uuid()                        |
public      |message_attachment           |message_id                   |uuid                       |NO         |                                         |
public      |message_attachment           |file_name                    |text                       |NO         |                                         |
public      |message_attachment           |file_url                     |text                       |NO         |                                         |
public      |message_attachment           |file_type                    |text                       |NO         |                                         |
public      |message_attachment           |mime_type                    |text                       |NO         |                                         |
public      |message_attachment           |file_size_bytes              |integer                    |YES        |                                         |
public      |message_attachment           |duration_seconds             |double precision           |YES        |                                         |
public      |message_attachment           |created_at                   |timestamp with time zone   |NO         |now()                                    |
public      |notifications                |id                           |uuid                       |NO         |gen_random_uuid()                        |
public      |notifications                |recipient_id                 |uuid                       |NO         |                                         |
public      |notifications                |type                         |text                       |NO         |                                         |
public      |notifications                |title                        |text                       |NO         |                                         |
public      |notifications                |body                         |text                       |NO         |                                         |
public      |notifications                |data                         |jsonb                      |YES        |'{}'::jsonb                              |
public      |notifications                |is_read                      |boolean                    |YES        |false                                    |
public      |notifications                |created_at                   |timestamp with time zone   |YES        |now()                                    |
public      |password_reset_otps          |otp_id                       |uuid                       |NO         |gen_random_uuid()                        |
public      |password_reset_otps          |user_id                      |uuid                       |NO         |                                         |
public      |password_reset_otps          |otp_hash                     |character varying          |NO         |                                         |
public      |password_reset_otps          |expires_at                   |timestamp without time zone|NO         |                                         |
public      |password_reset_otps          |consumed_at                  |timestamp without time zone|YES        |                                         |
public      |password_reset_otps          |attempts                     |integer                    |NO         |0                                        |
public      |password_reset_otps          |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |performance_rating           |performance_rating_id        |uuid                       |NO         |gen_random_uuid()                        |
public      |performance_rating           |freelancer_id                |uuid                       |NO         |                                         |
public      |performance_rating           |overall_performance_score    |numeric                    |YES        |                                         |
public      |performance_rating           |confidence_score             |numeric                    |YES        |                                         |
public      |performance_rating           |total_ratings_received       |integer                    |YES        |0                                        |
public      |performance_rating           |average_communication        |numeric                    |YES        |                                         |
public      |performance_rating           |average_result_quality       |numeric                    |YES        |                                         |
public      |performance_rating           |average_professionalism      |numeric                    |YES        |                                         |
public      |performance_rating           |average_scope_compliance     |numeric                    |YES        |                                         |
public      |performance_rating           |average_timeline_compliance  |numeric                    |YES        |                                         |
public      |performance_rating           |success_rate                 |numeric                    |YES        |                                         |
public      |performance_rating           |last_calculated_at           |timestamp without time zone|YES        |                                         |
public      |performance_rating           |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |portfolio                    |portfolio_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |portfolio                    |freelancer_id                |uuid                       |NO         |                                         |
public      |portfolio                    |project_title                |character varying          |NO         |                                         |
public      |portfolio                    |project_description          |text                       |NO         |                                         |
public      |portfolio                    |project_url                  |character varying          |YES        |                                         |
public      |portfolio                    |completion_date              |date                       |YES        |                                         |
public      |portfolio                    |is_auto_generated            |boolean                    |YES        |false                                    |
public      |portfolio                    |contract_id                  |uuid                       |YES        |                                         |
public      |portfolio                    |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |portfolio                    |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |portfolio_embedding          |embedding_id                 |uuid                       |NO         |gen_random_uuid()                        |
public      |portfolio_embedding          |portfolio_id                 |uuid                       |NO         |                                         |
public      |portfolio_embedding          |freelancer_id                |uuid                       |NO         |                                         |
public      |portfolio_embedding          |embedding_vector             |USER-DEFINED               |YES        |                                         |
public      |portfolio_embedding          |source_text                  |text                       |YES        |                                         |
public      |portfolio_embedding          |embedding_metadata           |jsonb                      |YES        |                                         |
public      |portfolio_embedding          |embedding_dirty              |boolean                    |NO         |true                                     |
public      |portfolio_embedding          |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |portfolio_embedding          |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |proposal                     |proposal_id                  |uuid                       |NO         |gen_random_uuid()                        |
public      |proposal                     |job_post_id                  |uuid                       |NO         |                                         |
public      |proposal                     |job_role_id                  |uuid                       |YES        |                                         |
public      |proposal                     |freelancer_id                |uuid                       |NO         |                                         |
public      |proposal                     |cover_letter                 |text                       |NO         |                                         |
public      |proposal                     |proposed_budget              |numeric                    |NO         |                                         |
public      |proposal                     |proposed_duration            |character varying          |YES        |                                         |
public      |proposal                     |status                       |USER-DEFINED               |NO         |                                         |
public      |proposal                     |is_ai_generated              |boolean                    |YES        |false                                    |
public      |proposal                     |submitted_at                 |timestamp without time zone|YES        |now()                                    |
public      |proposal_file                |proposal_file_id             |uuid                       |NO         |gen_random_uuid()                        |
public      |proposal_file                |proposal_id                  |uuid                       |NO         |                                         |
public      |proposal_file                |file_url                     |character varying          |NO         |                                         |
public      |proposal_file                |file_type                    |character varying          |NO         |                                         |
public      |proposal_file                |file_name                    |character varying          |NO         |                                         |
public      |proposal_file                |file_size                    |integer                    |YES        |                                         |
public      |proposal_file                |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |rating                       |rating_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |rating                       |contract_id                  |uuid                       |NO         |                                         |
public      |rating                       |client_id                    |uuid                       |NO         |                                         |
public      |rating                       |freelancer_id                |uuid                       |NO         |                                         |
public      |rating                       |communication_score          |integer                    |YES        |                                         |
public      |rating                       |result_quality_score         |integer                    |YES        |                                         |
public      |rating                       |professionalism_score        |integer                    |YES        |                                         |
public      |rating                       |timeline_compliance_score    |integer                    |YES        |                                         |
public      |rating                       |overall_rating               |numeric                    |YES        |                                         |
public      |rating                       |review_text                  |text                       |YES        |                                         |
public      |rating                       |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |rating                       |update_count                 |integer                    |YES        |0                                        |
public      |rating                       |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |red_flag_alerts              |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |red_flag_alerts              |freelancer_id                |uuid                       |NO         |                                         |
public      |red_flag_alerts              |alert_type                   |USER-DEFINED               |NO         |                                         |
public      |red_flag_alerts              |severity                     |USER-DEFINED               |NO         |                                         |
public      |red_flag_alerts              |message                      |text                       |NO         |                                         |
public      |red_flag_alerts              |is_resolved                  |boolean                    |NO         |false                                    |
public      |red_flag_alerts              |triggered_at                 |timestamp with time zone   |NO         |now()                                    |
public      |red_flag_alerts              |resolved_at                  |timestamp with time zone   |YES        |                                         |
public      |refresh_tokens               |token_id                     |uuid                       |NO         |gen_random_uuid()                        |
public      |refresh_tokens               |user_id                      |uuid                       |NO         |                                         |
public      |refresh_tokens               |token_hash                   |character                  |NO         |                                         |
public      |refresh_tokens               |expires_at                   |timestamp without time zone|NO         |                                         |
public      |refresh_tokens               |revoked_at                   |timestamp without time zone|YES        |                                         |
public      |refresh_tokens               |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |report_auto_actions          |action_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |report_auto_actions          |target_type                  |text                       |NO         |                                         |
public      |report_auto_actions          |target_id                    |uuid                       |NO         |                                         |
public      |report_auto_actions          |report_count                 |integer                    |NO         |                                         |
public      |report_auto_actions          |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |review_ai_analysis           |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |review_ai_analysis           |review_id                    |uuid                       |NO         |                                         |
public      |review_ai_analysis           |sentiment_score              |numeric                    |YES        |                                         |
public      |review_ai_analysis           |sentiment_label              |USER-DEFINED               |YES        |                                         |
public      |review_ai_analysis           |sentiment_mismatch           |boolean                    |NO         |false                                    |
public      |review_ai_analysis           |authenticity_score           |numeric                    |YES        |                                         |
public      |review_ai_analysis           |is_flagged_fake              |boolean                    |NO         |false                                    |
public      |review_ai_analysis           |is_flagged_coerced           |boolean                    |NO         |false                                    |
public      |review_ai_analysis           |flag_reasons                 |jsonb                      |NO         |'[]'::jsonb                              |
public      |review_ai_analysis           |bias_score                   |numeric                    |YES        |                                         |
public      |review_ai_analysis           |bias_flags                   |jsonb                      |NO         |'{}'::jsonb                              |
public      |review_ai_analysis           |overall_pass                 |boolean                    |NO         |false                                    |
